No,Id,Name,Text,Task type,Faction,Reward money,Reward item
1,"val_recover_item_1","Вернуть 8-кратный прицел","Был тут недавно один тип, у него на стволе была отличная оптика, такой в Зоне не достать. Как я его не уламывал, продавать её он не захотел. А потом ушел с нашим патрулем в сторону Кордона. Патруль тот так и не вернулся, я так думаю и сталкер этот где-то недалеко от патруля остался. Принеси мне ту оптику, я её Чехову как подарок подгоню, может он меня комендантом назначит.","additional","freedom","2500","repair_outfit_box:skill_book_hpsa"
2,"gar_recover_item_1","Вернуть «Чейзер-13»","Тут такой расклад приключился: один наш браток... как там его... отловил фраерка из диггеров и, шутки ради, решил ему устроить прогулку промеж аномалий. То, что грави обоих смяла - это ясно, но там же и мой Чейзер остался, который браток на это дело у меня взял. Если бы он опять у меня оказался - это был бы жирок.","additional","bandit","800","ammo_12x76_quadro:ammo_12x76_quadro:ammo_12x76_quadro"
3,"esc_recover_item_3","Вернуть «счастливый» детектор","Наёмник, помоги мне. Понимаешь, тут такое дело, я недавно себе новый детектор купил, помощнее моего старого, и на радостях свой старый детектор зашвырнул в аномалию подальше. Но этот новый детектор невезучий какой-то, уже третью неделю ни одного артефаткта найти не могу, хоть ты тресни. Я так думаю новый детектор это хорошо, но верни мне мой старый, а с меня награда, как полагается.","additional","stalker","850","{~50} wpn_silencer_9x18"
4,"mar_recover_item_2","Вернуть АКМ-74/2у","Несколько дней назад было совершено нападение на наших бойцов, когда они покупали у военных партию оружия. Большинство стволов пропало, однако лучший образец удалось припрятать. Нужно добыть его.","additional","csky","{~20} 1000,{~50} 750,500","ammo_5.45x39_ap"
5,"mar_recover_item_4","Вернуть КПК","Во время ночной разведки пропал один из наших лучших следопытов. Нужно по крайней мере найти его КПК, чтобы не пропала собранная информация.","additional","csky","{~20} 1500,{~50} 1000,750","ammo_9x19_spp"
6,"esc_additional_quest_6b","Вернуть КПК","Вернуть найденный КПК сержанту Овечко","additional","","","medkit_army:ananas:repair_arms_box:skill_book_beretta"
7,"agr_recover_item_2","Вернуть КПК с секретной информацией","Наёмник, меня на свалке ограбили бандиты, забрали все, что было: деньги, оружие, патроны и все медикаменты. Но самое главное то, что со всем этим забрали мой КПК с информацией о расположении групп бандитов на Свалке. Если я не принесу Крылову эти данные, он меня в порошок сотрёт. Помоги вернуть КПК.","additional","dolg","2000","{~30} wpn_groza"
8,"mar_recover_item_1","Вернуть ПМм","Во время ночной вылазки наш отряд угодил в логово кабанов. Бойцов спасти уже вряд ли удастся... Но командир отряда был вооружен модифицированным ПМм, а такое оружие ещё может послужить. Нужно его вернуть.","additional","csky","{~20} 1000,{~50} 750,500","medkit_army"
9,"val_recover_item_3","Вернуть гитару Серёги","Прикинь, тут у Серёги украли гитару! Он у нас единственный кто играет хорошо, да не просто хорошо, а так что слушать можно. Это не три аккорда, на которые тут все горазды. Мы, конечно, вора определили, но он сволочь гитару спрятал. Будь другом принеси гитару, а то Серёга на чужой гитаре играть отказывается.","additional","freedom","500","wpn_addon_scope_susat"
10,"yan_recover_item_2","Вернуть гранату-сувенир","Наемник, мне нужна одна вещь... Я потерял один сувенир, выглядит как граната.. но это не граната... то есть граната, но учебная... В общем, верни мне ее... Я, когда по территории завода лазил, там так долбануло... в мозгах все перемешалось, я чуть не забыл, кто я... Пришел в себя только здесь, а граната наверняка там осталась, верни мне ее.","additional","stalker","1500","ammo_5.45x39_hr:ammo_5.45x39_hr:ammo_5.45x39_hr"
